review_contents,individual_rating
Very taste vitamin with excellent composition at an adequate price Children approved,5
The dosage is large please note,5
The children liked it very much. The taste is excellent,5
I give products of this manufacturer to children without doubting the quality,5
Delicious vitamin the daughter appreciated and eats with pleasure. Sugar-free is very important,5
The child eats them with pleasure every morning asks for a vitamin.,5
high quality; good composition the presence of sodium ascorbate; pleasant taste; high efficiency from taking vitamin C; unfordable price,5
I bought it for kiss use,5
I give vitamin to my daughter from October to April. Vitamin C is essential for prevention. In case of illness 2 pus per day. The child liked these vitamin they are orange-favored. Sugar free. I will buy more. Recommend.,5
The vitamin are delicious  The child is happy  More law for the next order.,5
Excellent marmalade vitamin. It is convenient to give to children waiting for an appointment. Good taste,5
I love fragrant taste vitamin children eat without problems. the effect is,5
I chose these vitamin because I read that in the form of ascorbate vitamin C is better absorbed by the body and also because of the presence of bioflavonoids. Have children before and during could along with vitamin D. Hewed with pleasure without problems.,5
I order vitamin C for children all the time I give it during the season of cold for prevention and increase the dose when they get sick. Folds go away faster,5
A very useful food supplement especially for pick kiss Now in winter it’s just for immunity,5
I take it for the kiss. Like,5
The child really likes this addition chess with pleasure,5
Other vitamin for children do not taste good but they taste good,3
delicious vitamin. round flat hard cheadle. the child liked it.,5
1 tablet contains 250 my of It C. Excellent dosage,5
The 4-year-old child liked it we accept it with pleasure while there are no problems we took one for a sample now they ordered the and package.,5
The maximum permissible daily dosage of vitamin C for children is just 250 my I give to children during the period of the first signs of illness .. For prophylaxis on ordinary days 12 tablet is enough very sparingly. Recommend,5
In the season of cold it is very effective,5
I buy for a child. Delicious vitamin. Good dosage. He use 1 piece per day. The packing lasts for a long time. He also add zinc vitamin D and Meg 3 - and we don't know cold  Health to everyone,5
Liked that in the marmalades. I take it for the first time,5
The drug tastes good children take it with pleasure. ARVI proceeded faster and much easier than before.,5
Sweet and sour vitamin children liked,5
delicious vitamin C one tablet a day is enough for a child,5
I am happy children accept without problems,5
Delicious tablets and 250 my dose is good unlike many other vitamin with scanty doses,5
Must 1 cheadle tablet per day and 250 my of vitamin C are provided. Composing cities bioflavonoids is cool. Children love the taste,5
Good vitamin they smell like an orange.,5
Children love this form of vitamin C. Good dosage,5
Wonderful vitamin D children love they become sick less,5
Normal vitamin for the whole family. His dosage is suitable for a child but if you are sick adults need to take up to 1000 my we just take more pills. It is convenient for me that there are not many can. Vitamin did not cause any side effects neither in children nor in adults.,5
A good vitamin C complex for children as part of bioflavonoids. chew form with orange flavor Children themselves remind to get it,5
children like it. Did not cause galleries,5
The second version of children's it C which I take for children when our favorite company does not exist. Children like it galleries have never been found.,5
He drink vitamin C at the first sign of a cold. The kiss love it. The taste is pleasant,5
I bought it for children for prevention in the autumn-winter period. There was no clergy as with other variant of chewing it. C. Transferred normally.,5
For this price I recommend buying very good vitamin,5
I give the child 3.8 years. In the season of active cold in the garden I give one at a time on ordinary days in half because vitamin C is also in another complex. News with pleasure. I ordered more.,5
The child chess without problems only you need to make sure that he does not eat everything there are no galleries and harmful effects I highly recommend it during the period of cold,5
The child loves to gnaws them,5
Children love this main thing plus it is useful,5
Vitamin C is like vitamin C you can drink it in liquid form as usual but this one turned out to be too sweet for me ...,3
For children from 2 to 8 years old Perfect. But for children older you need to take 4-6 tablets and it is better to take something with a higher dosage,5
The child's favorite vitamin C. In the form of sweets. In the composition vitamin C itself is in good form and there are bioflavonoids that I did not find in liquid counterpart. I give it to my son at the first symptoms or if I'm already sick. Heals faster.,5
Good composition. But the pills are very hard. Children like summits more,4
The composition is in principle good I took the child to the first grade. It first I tried it myself but I didn't really like it it has a very part taste. I was reminded by UPI from the was I will break the pill into 4 parts and give it rationally after eating. Vitamin C is very important for organs and systems it is not synthesized in the body and does not accumulate He will accept stay healthy,4
Delicious my daughter and brother accept it with pleasure. I give at the first symptoms of a cold. Recommend,5
It is rare to find a non-pacific form of vitamin C for children. It's good that there are some. Recommend,5
In excellent and quality product vitamin C for children in the form of cheadle tablets with a natural orange flavor,5
Sweet and sour good taste each capsule contains 250 my of vitamin c,5
It first I doubted at the expense of the brand but the children accept it with pleasure I hope it helps,5
taste and healthy. excellent composition kiss like,5
Not a bad children's vitamin C. Good support for immunity,4
Delicious like ascorbic acid. The son accepts with pleasure.,5
Fig push ~ kiss love it,5
I think that the children will definitely be happy Range flavor cool design and good price. Recommend,5
The child really likes the taste. He take one tablet a day of course after meals as a preventive measure.,5
good form of vitamin C for children and reasonable price,5
I take it for myself as a healthy treat. And no sweets are needed. Good drug. Excellent shape bioflavonoids in composition,5
It is very convenient to give to the child. Delicious like candy,5
In excellent option for children's vitamin C in a non-pacific form New of these gumma option for kiss His one can be recommended,5
Delicious vitamin kiss liked it. I think everyone knows about the benefits of It C during the seasonal period.,4
Good Vitamin C The tablets are not gelatinous but rather hard so I do not recommend for young children although the instructions say that it is possible under 3 years old but I would recommend from 4 years old and the dosage is quite large,4
I really like the child but I really like that there is no sugar in it,5
A 6-year-old child immediately refused pills because he was used to gumma vitamin. But then he tried it and now he himself reminds of the reception. The tablets are taste moderately sour. I will definitely repeat the purchase.,5
Your the kiss didn't like it. I drink it myself. Good quality.,4
kiss really like cheadle tablets taste and healthy,5
A 4-year-old child likes these vitamin it is easy to take it smells nice,5
A good created form of vitamin C. Took the child's dosage because there are problems with the gastrointestinal tract.,5
It is very cool that the vitamin is not only in the form of ascorbic acid but also in the form of sodium ascorbate which is better absorbed,5
Vice and funny cheadle vitamin with a pleasant cities flavor kiss will definitely love it.,5
Perfectly supports and strengthens the child's immunity. Relevant for the winter season. Pleasant taste comfortable shape.,5
By daughter takes about a month I like it very much in the future I will order both for myself and the child,5
He take for the second time an excellent and safe form of vitamin C for the body ,5
Good vitamin C for children in the form of ascorbic acid and sodium ascorbate. Became ,4
Good vitamin C. Accepted by both children and adults. Chewable tablets not very large easy to bite. The smell of orange the taste is sweet and sour not sugary. The dosage is good too. Allergies were not caused. In general we are satisfied we take 1 per day for the prevention of cold in the autumn-winter period.,5
In my opinion one of the best. But on a permanent basis it is better not to accept. Ascarbic acid affects kidney function. And she is there. Of children are not very pick you can mix mala powder into food. It is harmless organic it is possible for children from one year old. Sure vitamin C.,5
Waited until it appears  The child is delighted ,5
The children liked it the taste is orange now I give the season of cold as prevention,5
I liked these pills. Of course it would be more interesting in the form of animals but But here is a very good composition with natural additions And the form of vitamin C is added Ascorbate - this is very good The child likes to chew them Dress and be happy ,5
Children's vitamin C with a pleasant taste I take it to maintain immunity,5
good vitamin C I liked it,5
Excellent vitamin C the child is happy to eat. The concentration and composition is excellent,5
