review_contents,individual_rating
I buy on the recommendation of my doctor. A very important vitamin,5
I bought it for my daughter. The asked me to pick up vitamin D for her after giving birth. The said she had no strength. The drug is working. A few days after taking her her mood improved and she gained strength to deal with the child.,5
I take this drug along with selenium opera B-complex hemp-plea zinc and magnesium. Having previously passed the tests and discovered that you have a deficiency of all of the above From the results - The oedema  puffiness of the face and body is gone. -The energy and strength to live appeared. -It became much easier to wake up. -In general the state of health has improved significantly.,5
A good form of vitamin D and K. I drink it for prevention,5
According to blood tests after using this vitamin my level rose and it also contains natural iodine,5
Took a long time from now decided now with vitamin K,5
Doctor prescribed to me good dosage and digestibility,5
I ordered this form due to the beginning problems with thyreoid gland. I feel great,5
Vitamin D and k-iodine can be eaten the same.,4
I was really looking forward to this product excellent dosage great brand all its products are worthy,5
Have been taking this for many years for optical health have found it an excellent product,5
Take it before bedtime works a treat,5
It made the task easier that you do not need to drink iodine additional. The staff is good and the firm is not bad.,5
A wonderful complex of vitamin D K and iodine. Recommend,5
One of the best manufacturers I know Very often when choosing dietary supplement we pay attention to the price AND dosage but not so often we think about the quality of the manufacturer. Maybe I'm wrong of course this story is only about me but when I studied the process of vitamin I came across the fact that those positions that I bought a year ago today would not have been bought for any gingerbread and would not have taken even for nothing. I would be glad if I could be useful to you. Like is encouraged but not required. Have a nice day,5
The complex helps vitamin D-3 to get into the parts of the body it needs.,5
I really liked it for hair in general super,5
These vitamin are of very good quality. There are no side effects. I trust and love this company.,5
I drink as directed by a doctor.,5
In excellent combination of vitamin D K and iodine no need to buy additional co-factors is well absorbed and compensated for the deficit I recommend it especially in winter,5
In excellent vitamin Of plus iodine and vitamin K very convenient all in one bottle,5
A good complex of vitamin D K and iodine. But due to the high concentration of iodine it must be introduced gradually and after a preliminary course of selenium magnesium at least 2 weeks.,5
Good value doesn’t upset my stomach.,5
The best vitamin D and K and even with sea iodine.,5
His is great stuff. Love the sea iodine. I do prefer the liquid formula better though.,5
I really like this form D plus the factors together. I already order like the th jar,5
His is not the first time I order I drink it with a course to replenished iodine and it D,5
Vitamin D in capsules with vitamin K for better absorption I also ordered without additions from this company. Recommend,5
Good dosage helped me. It became easier to start in the morning.,5
A wonderful complex was prescribed by a doctor vitamin D is better absorbed with K,5
I accept this complex in the winter.,5
In terms of composition and ratio price  quality is the best product for me Additionally contains iodine in bioavailable form. I always buy this particular vitamin D.,5
His is my favorite complex supplement. These drugs complement each other perfectly.,5
this complex is not cheap but my daughter busy it because a small capsule contains three essential ingredient to improve her health,5
Strong immunity good mood resource state. In the first day of illness I increase the dosage to 2-3 capsules and the next day I am healthy,5
It is best to take vitamin D in the morning at lunchtime to avoid sleeplessness and unnecessary carousal in the evening. Of course this can be an individual reaction.,5
The best vitamin D complex I order on an going basis,5
In excellent drug. Good dosage. small convenient capsules. High-quality packing of goods. The result is 100 percent. It is easier to tolerate ARVI the digestive tract works better there are pleasant changes in the shine of the hair the level of activity has noticeably changed. I accept it strictly on the recommendation of an endocrinologist. Excellent working vitamin.,5
I like this firm very much. Very good composition. When taking It D Above 5000 you must take vitamin K and magnesium,5
Vitamin D with K for a better arrangement of the first and plus iodine Excellent I think,5
I like it very much. Want a tip on when to drink vitamin D It must be taken in months with the letter P in the name  On't thank just press YES,5
There was no effect from the word at all but I drank without tests I just hoped that I was in shortage of everything but there is no element that causes a rash on my stomach I will not do this anymore.,2
Vice complex. I'll take it to my mon. He are happy with the result,5
A good combination in an optical dosage Take only as directed by your doctor,5
It helps to have a mixture of vitamin D and vitamin K.,4
Good form of the drug Recommend,5
Not a bad maintenance dosage plus an adequate amount of vitamin K. Iodine is also good for immunity. The capsule size is small it is very convenient to drink. The drug is working. I'm happy.,5
Super dosage of vitamin D with vitamin K but a very high dose of iodine before taking it it is necessary to be tested for thyreoid antibodies. reduces TTG well after illness.,5
According to the results of the analysis a very low level of vitamin D was found he drank a three-month course. After I passed it again - it returned to normal now I take it to maintain at a lower dosage. His D was recommended - good dosage  iodine.,5
I drink as directed by a doctor there are no complaints about the quality.,5
Good drug. I drink a couple of times a week. Already cheeks are burning,5
In excellent company I like its quality and what is contained in the iodine network ,5
good drug. I took myself and my friends,5
Excellent composition But who has diseases associated with thyreoid iodine is prohibited,5
It is very convenient here everything is together and you don't have to drink separately. I love these drugs,5
In excellent preparation for maintaining healthy thyreoid bones teeth and good immunity. The fatigue went away after a week of use and the mood improved. I take it with opera.,5
I took vitamin for myself. Since I took vitamin and did not see the result. After taking these vitamin the 25-of vitamin D level increased from 14 units to 20 units. I see the result and plan to take it further,5
Helps keep me happy and could free.,5
a worthy manufacturer a rare set of the most important components,5
I regularly order this particular vitamin D since in combination with K it is much better absorbed. good brand and excellent quality. I am ordering the third can and will order more,5
Ought on the advice of an endocrinologist. Helps to raise the level of vitamin D. He will continue to order.,5
Take if the D level is below normal,5
For the second year they have been drinking vitamin D with Of I buy different companies. The state is vigorous the immune system began to work much better.,5
A good complex is also with iodine. Conveniently in one capsule and vitamin D and K and Iodine. It is very difficult to find in stock I always buy with a margin. I have a course of 6 months. Husband is 4 months old,5
Great addition of D and K straight 2 in 1,5
vitamin D with vitamin K from a very good company also contains a preventive dose of sea iodine,5
При низьких дуже низьких показниках вітаміну д після 1 місяця прийому - мій вітамін д став у нормі. Дякую,5
Having passed the analysis we saw that there was not enough vitamin D. In general I complained of constant fatigue. The doctor prescribed this dosage. Now will the effect add a review.,5
It's no secret that many people in the north suffer from vitamin D deficiency. I was advised this drug since it is 3-component at once these vitamin interact perfectly with each other.,5
Excellent vitamin I accept them on an going basis. I trust this brand,5
A good vitamin I really like it both in taste and in action I take it not for the first time,5
I love this brand very much it is always at the forefront with its developments. It is advisable to take vitamin D with vitamin Of because if there is a background inflammation and elevated serum calcium stone formation may occur. Unlike its counterpart Of vitamin Of does not affect blood clotting.,5
I think all the same to apply separately iodine and separately it D. There were no side effects.,3
The best Of for me in for good assimilation I order only for myself and my relatives A small capsule very convenient for swallowing Take you will not regret Of my review was useful Click Наж I will be glad ,5
A good comb do  k 2. With a dosage of d 3 higher from 5000 of it is imperative to add vitamin K. Were it is 2 in 1 autumn is convenient,5
Vitamin Of in a dose of more than 4000 of must be taken with Of which is presented here plus a good dose of sea iodine,5
vitamin Of is well absorbed from Of. no need to drink two capsules very convenient.,5
Vitamin D in an increased dosage of 5000mu Contains vitamin K two for better absorption as well as sea iodine from help,5
But of stock for a long time.,5
By basic supplement I drink for a long time with breaks. Cheerfulness lightness good mood and down with puffiness thanks to sea iodine,5
Whenever it falls I order it and eat it.,5
A powerful complex of vitamin D and K in combination with iodine  In a high dosage. Quickly helps to align thyreoid harmony levels in hypothyroidism Take with caution in people who have antibodies ATPO  ATTG,5
I took it on the advice of knowledgeable people I will try I will subscribe later,5
His is not the first time I buy it because I live in the north and there is a lack of sun and therefore vitamin Of. His product has seduced the same content of sea iodine. A home test for iodine in the body showed before taking the product that there was a drawback. After drinking for two months the doctor said that he was satisfied with the test results. I am happy with the product. Recommend.,5
It is important to take it every period and feature k and d together,5
A great combination. I accept it on the recommendation of a doctor. The result is immediately visible. According to the tests It quickly returned to normal.,5
Great brand good complex. The spouse drank raised his vitamin D level  additional against the background of iodine TSH decreased as a bonus,5
For three years now I have been giving my child on a permanent basis it works well. The level of vitamin D is kept around 80 has stopped hurting at all.,5
I took it on the recommendation. While everyone is happy,5
May attention to the iodine dose of 1000mg His is a lot not for everyone.,5
very good complex it D and K and iodine. Adequate vitamin D levels contribute to cognitive health bone health immune function and more. Vitamin K helps maintain calcium balance in the body which affects everything from cardiovascular health to bone density. Iodine for the thyreoid gland. I take 1 capsule daily,5
does not hurt There is no negative reaction of the body,5
Excellent composition. It didn't work for me and my varicose leg began to hurt from It K. It K is loading blood keep in mind. There is no vrpprsrv for the drug itself. The composition is excellent I trust this brand,5
For me the best vitamin D on the site in the composition of vitamin K for better absorption as well as iodine. A month after I started taking it I raised my vitamin D by 25 units. Took 1 capsule daily with magnesium.,5
Very good product. Orders for the third time.,5
Supports heart immune and vascular health,5
I drink on an going basis an excellent composition with Iodine,5
The drug was prescribed by a doctor and an improvement is felt. The manufacturer is top notch,5
the doctor wrote out I trust my doctor I will take it. The dosage is good.,5
Vitamin D in a good dosage also with Iodine,5
For good health. The effect is still unknown.,5
A good preparation excellent effect on the body.,5
For our family the best vitamin D since it comes with vitamin K and iodine,5
Great product Especially because you don’t have to separately take K-2 ,5
Vice complex but only after you have drunk all the necessary components for iodine. such as magnesium selenium vitamin D. For experienced people who drank iodine starting from small doses.,5
Vice complex. Vitamin D iodine vitamin K. Vitamin D and vitamin K work very well together. I liked this iodine with gopothyroidism,5
Perfectly improves immunity. However like all dietary supplement of this brand the composition is excellent. I give the child a schoolboy to support immunity and improve mental abilities.,5
excellent complex for general health and for the thyreoid gland,5
Is we know the set of these supplement is very important for our body and the assimilation of vitamin D occurs including with the participation of k the form and dosage are ideal it controls its parameter according to analyze and you will be happy.,5
By constant purchase. According to my analyze my vitamin D has been lowered. I take it with iodine. I live in a region where according to statistics there is an iodine deficiency. I'm happy with the result.,5
Drink with the whole family I am a husband and daughter 6 years old on a permanent basis Super formula everything you need,5
It was bothersome to eat separately so we ate together.,4
In excellent dietary supplement it increases vitamin D levels well.,5
I order a second can there are no side reactions and discomfort this drug was recommended by the endocrinologist as it contains iodine which improves the absorption of calcium.,5
A good dosage of vitamin D for an adult and vitamin K in various forms but we all need iodine there is a general deficit. I accept courses,5
I really like this vitamin D and the presence of iodine in it drink with the whole family,5
Good vitamin excellent condition. Now% is very relevant,5
In excellent combination of vitamin D K and iodine. Iodine is a large enough dosage you need to be careful,5
There are three most important elements in one tablet since they provide good blood clotting and the thyreoid gland help to increase overall immunity and have a significant effect on metallic processes in the human body. I liked the quality of the product and the dosage you need to drink one tablet a day and not several tablets like other manufacturers Delivery is fast it pleases Of my review was useful to you put ,5
Haven't tried it yet. While I drink vitamin D from another manufacturer,5
It seems to me better to take iodine and ll separately,4
Vitamin D is not enough for everyone everyone should drink it,5
The vitamin arrived in perfect condition; the package has an external protective film. The dosage in the complex are not small - I advise you to check with your doctor,4
Is a physician I love this product. The ratio of D  Of are very healthy. And the Of is the best form MK7. The it D is a decent dose of 125mg 5000iu which is around the dose many people need. There I live we can only get 1000iu 25mg which is far too low a dose considering our city's latitude and poor but D conversion rate. His isbthe bit D our family uses also.,5
Ordered for parents .. excellent performance,5
Not a bad combination of D and Q to raise your D level to opium. In order to understand how many units you need - subtracted your current from the desired value and multiply by 100 The optical should be at least 50,4
Good vitamin D with iodine works,5
The drug is super I'll start with numbers. In 4 months my vitamin D level rose from 27 to 48. It the same time I would like to draw your attention to the fact that I had a deficit and for good reason I should have taken 10 thousand or 20 thousand. I chose this brand because of 1. B the preparation has vitamin K. It is intended for better assimilation of vitamin D. 2. The composition includes iodine which is important for the thyreoid gland. 3. Of all bands it is very advantageous in terms of price-quality ratio. Like the review please like it.,5
The best in composition and quality vitamin,5
Fool working complex rarity duke iodine all together,5
Liked the packing. The benefit has not yet been appreciated we accept it not so long ago.,5
It’s good because the pills are small and easy to eat,5
Liked it Most of all other firms,5
It works I was even surprised a little after taking it after a couple of days I discovered changes in the strength of the nails They became like a stone Recommend and order more,5
It has a good effect on the immune system helps the bone.,5
When you drink a large dose of vitamin D it turns out that you need to drink with factors this D contains K also iodine which help to quickly absorb D,5
Very excellent especially with the presence of iodine,5
The pills are really small so it’s easy to eat,3
It is so important to take vitamin D and vitamin K together and it is in this drug that the ratio of these vitamin is excellent and I trust the LIFE brand ,5
The first time we bought vitamin with such a large dosage. He will observe the results. It is the dosage that causes concern. Otherwise no complaints.,5
very convenient combination drank on an empty stomach in the morning. I think to take it further in order to slightly reduce the number of can. great brand.,5
I like this product very much it contains both It K and iodine.,5
I love life extension for the best complete,5
Gorgeous composition it is convenient that everything is together a constant purchase,5
A wonderful complex D  k  sea iodine The drug is working,5
Perfectly raises vitamin D be careful there is iodine in the composition this is not suitable for everyone,5
They raise the level of vitamin D in the blood very well,5
Small eggs and easy to eat,3
I bought it for children excellent composition it is convenient to divide the capsule the elder can swallow himself the capsule is small,5
One of my favorite vitamin D complete along with iodine,5
good vitamin. the most important vitamin in the complex. For those who have problems with the thyreoid gland consult a doctor because not everyone can eat iodine. 1 capsule per day.,5
